source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,phot_g_mean_mag
5599170330597007360,114.23733886623397,-30.406159966819498,244.91713243487484,-4.5517064532257985,72.06985722170116,0.018065019,3989.4702,223.82631431444491,0.017771397,-361.2909042777817,0.019431323,-24.385551,0.3362727,2016.0,12.2748165
5655050092795276800,136.7599966689761,-22.149052356271294,249.54005721858294,16.729200370202918,65.2184302642222,0.04678833,1393.9037,-302.418538621794,0.046116006,-409.38823816263016,0.03662995,-5.064882,1.7559619,2016.0,12.614358
5661194090755452416,144.2411188258142,-26.16992209610879,257.4880306897545,19.082526740775837,55.35172364584934,0.7495128,73.85027,6.6081874284195985,0.7076702,-23.856081066891754,0.42653877,-3.4699175,0.8080671,2016.0,12.259643
5819260642586368896,243.27172696880103,-70.15478761691558,318.55155017045723,-13.672218746666985,57.67812765563955,0.020085478,2871.633,-226.37907418217964,0.015707534,-571.5951513639637,0.021447768,-17.340195,0.28968742,2016.0,12.277511
6066971747504719232,200.51762131763667,-55.01702752746204,307.3526172865085,7.591576676813474,68.45550194489144,0.02689275,2545.5002,-267.5239414167674,0.020145867,-135.5684651838991,0.01928986,20.056536,0.5231587,2016.0,12.241785
6096529059601571200,214.19550544539564,-44.888706723102096,318.43962280120786,15.397860679724475,65.00248993401277,0.032904796,1975.4714,-401.4835074697909,0.038876675,100.36442406557045,0.041169096,12.156279,0.24117106,2016.0,11.0822315
6109610086872510592,210.96248100755366,-42.699347027825176,316.84188140385913,18.208099193554705,100.60251218748147,0.033572633,2996.5632,-379.2833529392459,0.034210697,-290.5102813099834,0.04124811,-0.28728175,0.9121105,2016.0,11.695198
6114232433761438208,209.53254015680207,-39.63592927128449,316.6648952298828,21.450722824186506,86.5404506772896,0.025836196,3349.5818,1735.887684732574,0.027514044,-888.020995395279,0.0280369,130.79405,0.666089,2016.0,12.618702
6158476403698590464,187.50493405910916,-34.191273130804056,297.89431033552387,28.47088847683674,52.55579188403275,0.26315427,199.71477,-417.0024445001748,0.23325299,-272.37919653471147,0.23121822,3.4966447,0.66581374,2016.0,12.555713
6160315989731008768,189.34138798225726,-32.01211771374125,299.46030880289743,30.76475661716052,56.77925796998184,0.17520134,324.08005,229.46082615490084,0.20705956,-436.44685636167014,0.13227962,22.159256,1.9160615,2016.0,13.357776
6305165514134625024,224.97665286074593,-18.53775641089888,340.7628259061707,34.729673120631624,174.02530425165742,1.9005988,91.56341,8.935928343633153,1.8164712,-9.867716145115926,1.9178163,,,2016.0,20.435377
6357629089412187648,337.64687646646456,-75.26487529214928,313.77139483256366,-38.750858068004995,66.50946818877851,0.037933405,1753.3219,409.51345499223896,0.039646126,-1827.8767274186846,0.045868017,,,2016.0,16.443058
6366571314402539008,304.05133275745055,-75.51775999531469,318.7961561049411,-31.463250958355513,66.23240646944261,0.021356624,3101.2583,251.73781585519427,0.018465543,37.78556032868542,0.023277404,,,2016.0,13.867133
6463883281779253120,316.30785272869997,-55.06708013322248,342.13682497274345,-40.898600968458396,62.794410672768585,0.03032844,2070.4795,44.54354712915939,0.02521373,-327.43307124533635,0.021704813,25.961285,0.5404425,2016.0,12.513532
6487483783474213632,359.6844071176511,-62.761415023739694,312.99105854822005,-53.3255060736074,50.26921487111801,0.028897112,1739.593,590.8979026558277,0.0289109,83.5928139941755,0.033360895,,,2016.0,14.875483
6493448634054105728,343.8257051224952,-57.21948858031234,329.20042241243027,-53.578845996569804,58.51971760193937,0.53329724,109.731895,-207.75812982896576,0.41551226,-247.3884857138188,0.47357368,,,2016.0,19.357224
6508776375901968640,334.5683625481559,-53.62987304773594,339.0056902241851,-51.387609294730204,71.09384614454987,0.055435102,1282.4698,441.22964916542867,0.057686992,-629.7500845409968,0.05701009,,,2016.0,5.2305317
6635966781495628672,277.5497899310366,-58.2762851072264,336.83003706056815,-20.1543742326632,69.56114237849611,0.019057628,3650.042,-27.879659609021573,0.015996082,-446.8528032444338,0.014783142,-1.5166229,0.15018822,2016.0,9.080015
6637017330494491648,283.70836681424106,-57.07969410501362,339.09774230179676,-22.950216341159233,56.43359401090119,0.12687866,444.78394,-468.84705018488347,0.100065716,-323.39016717591164,0.07853226,,,2016.0,15.939272
6709964635600548992,280.2859984119815,-43.79280811441058,351.7586690400242,-16.661628715950837,79.93312282593712,0.04101658,1948.8003,-796.0178759069684,0.043994226,-85.85722991308748,0.037835646,,,2016.0,14.137705
6817950657560102016,326.69107096359306,-21.29660962151476,30.45985272089352,-47.72082834871142,64.22312127649028,0.036772832,1746.4828,292.12600792708486,0.0358638,-52.84053290856598,0.02948645,1.2657529,0.58121866,2016.0,12.271136
6858958940879829248,312.4711253064467,-17.26945706554899,29.550410471926977,-33.7314459313028,53.28172499958504,0.053722527,991.79486,302.2466052049922,0.055361383,-98.71586533632916,0.04375451,,,2016.0,15.749394
2979590513145784192,73.46015657149674,-17.776283502998492,216.96964952729155,-33.727440084443195,83.68966533704628,0.015969025,5240.75,408.5727310537092,0.012086365,-644.4568537651821,0.012502593,-14.868612,0.13526118,2016.0,9.938216
3307009304776119936,66.47344954736745,12.195718425525737,183.03540373719486,-24.81681666725177,62.38745759498418,0.035116166,1776.6023,-91.3886384847017,0.03994758,-234.4322294116079,0.028209947,,,2016.0,15.268687
3320184202856435840,89.10409821980528,5.359344709329013,201.7553327820442,-9.677598787402868,123.19885316518207,0.017005328,7244.7207,-444.6846044467807,0.017798543,-925.1396520378544,0.015032777,-414.01544,10.4149475,2016.0,13.9694195
3352485999058854912,101.32182967483567,12.89474308933157,200.7398850660983,4.501092872087301,54.189438370902394,0.2369236,228.72115,-114.56401293447146,0.39694527,-191.67097112394018,0.41235986,,,2016.0,3.2463484
3394298532176344960,80.91108310811642,17.32409154334818,187.1487676635985,-10.473478830470603,68.76616259697118,0.024643594,2790.4275,250.98385957728127,0.026574189,-5.707287427419183,0.019159453,38.03238,0.12415483,2016.0,7.543094
3460806448649173504,178.91497468580934,-37.46337796594098,290.8368671129184,24.094862029556133,84.7295814629436,0.1495661,566.50256,42.9675178020456,0.15540054,-791.1035179782759,0.11437082,,,2016.0,17.625954
3489874340630661248,183.53565753332592,-23.755029874500032,292.0360850932594,38.326381404720955,94.17662136293448,1.0774944,87.40335,58.665319210066684,1.1653492,53.39234046828061,0.9348586,,,2016.0,20.577303
3496355755520065408,189.8989000476626,-26.970549522793522,299.6772964822021,35.8263530046131,91.11268228893773,0.03062747,2974.868,-585.3449500720222,0.03434406,-188.54212253493628,0.024634413,-28.56731,0.7301753,2016.0,13.392563
3540491079971287552,175.4327350150918,-22.53570434625555,282.50993965657733,37.556164978945006,52.7072219929593,0.15452275,341.09683,-166.70616452745477,0.15259056,404.6786859988389,0.10919223,,,2016.0,17.01614
3545469496823737856,170.36193916124157,-20.454238172164345,276.0010045985614,37.66667522118186,72.86378758599548,0.32478505,224.34465,174.0148505136386,0.35329017,-79.4279876422625,0.2468294,-0.14528807,0.34174925,2016.0,8.125107
3552000252294347392,166.86431865551566,-19.29169201116245,271.64982995123455,37.184535431809124,53.37841940538086,0.016442463,3246.3762,-235.05390333553316,0.018227471,-45.88312263866047,0.016670246,-4.485079,0.17531447,2016.0,9.644162
3590516110255264000,170.02454101241776,-10.496224933576244,269.3785167608541,46.33962384779028,52.82484599742523,0.037755884,1399.1156,-197.88890570117823,0.047822814,19.84027986237223,0.04373065,11.138371,0.34498453,2016.0,10.302667
3602406744394215936,179.44156853878948,-1.8183858067070635,276.74153848089173,58.29763728943942,50.23149438811263,0.03420428,1468.5735,396.53044691951715,0.035059053,-217.81593961539815,0.021690909,-8.784838,2.7793546,2016.0,14.222267
3610474857638415616,204.6710209109411,-11.535869729632498,320.98557664886755,49.67251844479753,51.097304027203066,0.03833857,1332.791,149.37054627028073,0.04006511,-86.7405189700579,0.02989109,-0.1628886,0.943487,2016.0,12.749136
3699797150759489792,185.10661895694983,0.5834481084068606,285.9866868565602,62.430536546126056,57.1262796579985,0.07596538,752.0041,54.18553051931471,0.09263104,-27.13325134611149,0.0753219,,,2016.0,9.414559
3699797155055781760,185.10668056500708,0.5836851086339531,285.9866825707833,62.4307814141153,56.81213571717324,0.16207355,350.53305,128.74203445628206,0.18319125,8.84131310556924,0.13288297,,,2016.0,10.839606
3716608138087936128,198.52104654118253,3.8997239061992817,317.02023099390743,66.15008422684211,51.29307407540007,0.03662834,1400.3658,-736.0586170718175,0.0478103,9.570800474557869,0.038555,-17.90064,0.37544066,2016.0,12.292782
3793898411041910144,175.55398369123793,-1.3687129840118293,269.8488212195123,56.98901758882901,54.070939450548416,0.6558412,82.44517,-98.05757863352156,0.8475777,-4.860463261194137,0.49359784,,,2016.0,13.006214
3862117335108574848,158.13634891696773,6.5012502773544405,238.5684328792141,51.1160075332443,51.45001237026829,0.028258793,1820.6727,-232.19952505340217,0.033183496,-193.2171134875807,0.027836097,,,2016.0,13.988913
3899128064731508736,178.4708883615381,6.994985335869285,266.1575707199679,65.66973827247631,67.1388993676002,0.09952022,674.62573,314.5348188695745,0.07843629,-894.1850753605318,0.07353257,,,2016.0,15.268338
3936909723803146496,199.21782799373887,17.015463674461422,334.41812209832597,78.30176970670746,90.94750008166896,0.02317768,3923.926,649.6655266865097,0.030545872,-263.93659146095473,0.026126549,5.950392,0.13050109,2016.0,8.86984
4075141768785646848,282.4587890175222,-23.83709744872712,11.307625151239241,-10.287475752633519,336.0266016683708,0.031666122,10611.549,639.367850335873,0.03683873,-193.95792507116096,0.031829588,-11.11644,0.5655069,2016.0,9.126414
4103671243754951296,279.6869546094248,-14.493090301699558,18.589829484355153,-3.8089059528975766,74.79177425095429,0.052843038,1415.3572,111.73937976470509,0.0594259,-568.9949808960315,0.0468138,-38.937145,0.39757612,2016.0,10.241307
